,word,count
214,세인,2.0
214,능가,2.0
214,만큼,2.0
214,세계적,3.0
214,자랑쓰런,4.0
214,애국,2.0
214,애국시민,4.0
214,시민,2.0
214,국회,2.0
214,국방부,3.0
214,병무청,3.0
214,병역,2.0
214,병역특례,4.0
214,특례,2.0
214,이름,2.0
214,재능,2.0
214,재능기부,4.0
214,기부,2.0
214,국격,2.0
217,남자,2.0
217,댓글,2.0
217,실화,2.0
217,조작,2.0
217,아이디,3.0
218,이랑,2.0
218,동시대,3.0
218,시대,2.0
219,보드,2.0
219,축하,2.0
219,감동,2.0
219,행복,2.0
219,활동,2.0
219,오빠,2.0
220,축하,2.0
220,진심,2.0
221,내가,2.0
221,이것,2.0
221,자랑,2.0
222,이놈,2.0
222,문통과,3.0
222,통과,2.0
223,축하,2.0
223,투표,2.0
223,스밍,2.0
223,주신,2.0
223,아미,2.0
223,수고,2.0
223,아들,2.0
223,아빠,2.0
223,사람,2.0
223,보드,2.0
224,년만,2.0
224,아시아,3.0
224,보드,2.0
224,차트,2.0
224,기존,2.0
224,기록,2.0
224,일본,2.0
224,그것,2.0
224,거지,2.0
224,이제,2.0
225,아미,2.0
225,댓글,2.0
225,군면제,3.0
225,면제,2.0
225,멤버,2.0
225,벙역,2.0
225,의무,2.0
225,가지,2.0
225,꼬리표,3.0
225,생각,2.0
225,자제,2.0
225,부탁,2.0
226,최고,2.0
226,하다,2.0
226,계속,2.0
226,가기,2.0
226,본인,2.0
226,줄기,2.0
226,행복,2.0
227,이번,2.0
227,노래,2.0
227,취향,2.0
227,롱런,2.0
228,시기,2.0
228,국위,2.0
228,국위선양국위선양,8.0
228,선양,2.0
229,자랑,2.0
231,프리,2.0
231,프리메이슨,5.0
231,메이슨,3.0
232,숟가락,3.0
232,뭉디,2.0
233,정치,2.0
233,정치충,3.0
233,환멸,2.0
233,여기,2.0
233,정치얘기,4.0
233,얘기,2.0
233,해야,2.0
234,정도,2.0
234,군면제,3.0
234,면제,2.0
235,영어,2.0
235,하면,2.0
235,한글,2.0
235,문학,2.0
235,국문학,3.0
235,구봉,2.0
235,송익필,3.0
235,문장,2.0
235,나도,2.0
235,한수,2.0
235,아래,2.0
235,송강,2.0
235,정찰,2.0
235,최고,2.0
235,취급,2.0
236,축하,2.0
236,황금,2.0
236,황금막내,4.0
236,막내,2.0
236,정국,2.0
236,정국이도,4.0
236,이도,2.0
236,생일,2.0
237,최고,2.0
237,너희,2.0
237,자랑,2.0
237,이것,2.0
237,고생,2.0
237,표현,2.0
237,축하,2.0
237,사랑,2.0
237,우리,2.0
237,정국,2.0
237,생일,2.0
237,오늘,2.0
237,하루,2.0
237,누구,2.0
237,행복,2.0
238,한남,2.0
238,국위,2.0
238,국위선양국위선양,8.0
238,선양,2.0
239,문씨,2.0
239,숟가락,3.0
239,마라,2.0
240,축하,2.0
240,자랑,2.0
240,보유국,3.0
240,대한,2.0
